filename,label_id,label_name,ground_truth_mask
real_001.jpg,0,real,
tampered_001.jpg,2,tampered,tampered_001_mask.png
synthetic_001.jpg,1,synthetic,
real_002.jpg,0,real,
tampered_002.jpg,2,tampered,tampered_002_mask.png
tampered_003.jpg,2,tampered,tampered_003_mask.png
tampered_004.jpg,2,tampered,tampered_004_mask.png
real_003.jpg,0,real,
real_004.jpg,0,real,
synthetic_002.jpg,1,synthetic,
real_005.jpg,0,real,
real_006.jpg,0,real,
synthetic_003.jpg,1,synthetic,
synthetic_004.jpg,1,synthetic,
synthetic_005.jpg,1,synthetic,
real_007.jpg,0,real,
tampered_005.jpg,2,tampered,tampered_005_mask.png
real_008.jpg,0,real,
real_009.jpg,0,real,
tampered_006.jpg,2,tampered,tampered_006_mask.png
synthetic_006.jpg,1,synthetic,
synthetic_007.jpg,1,synthetic,
real_010.jpg,0,real,
tampered_007.jpg,2,tampered,tampered_007_mask.png
synthetic_008.jpg,1,synthetic,
real_011.jpg,0,real,
tampered_008.jpg,2,tampered,tampered_008_mask.png
tampered_009.jpg,2,tampered,tampered_009_mask.png
real_012.jpg,0,real,
synthetic_009.jpg,1,synthetic,
tampered_010.jpg,2,tampered,tampered_010_mask.png
synthetic_010.jpg,1,synthetic,
real_013.jpg,0,real,
synthetic_011.jpg,1,synthetic,
real_014.jpg,0,real,
synthetic_012.jpg,1,synthetic,
tampered_011.jpg,2,tampered,tampered_011_mask.png
synthetic_013.jpg,1,synthetic,
synthetic_014.jpg,1,synthetic,
synthetic_015.jpg,1,synthetic,
real_015.jpg,0,real,
synthetic_016.jpg,1,synthetic,
real_016.jpg,0,real,
real_017.jpg,0,real,
tampered_012.jpg,2,tampered,tampered_012_mask.png
synthetic_017.jpg,1,synthetic,
real_018.jpg,0,real,
tampered_013.jpg,2,tampered,tampered_013_mask.png
real_019.jpg,0,real,
tampered_014.jpg,2,tampered,tampered_014_mask.png
tampered_015.jpg,2,tampered,tampered_015_mask.png
tampered_016.jpg,2,tampered,tampered_016_mask.png
tampered_017.jpg,2,tampered,tampered_017_mask.png
tampered_018.jpg,2,tampered,tampered_018_mask.png
tampered_019.jpg,2,tampered,tampered_019_mask.png
synthetic_018.jpg,1,synthetic,
real_020.jpg,0,real,
tampered_020.jpg,2,tampered,tampered_020_mask.png
tampered_021.jpg,2,tampered,tampered_021_mask.png
synthetic_019.jpg,1,synthetic,
real_021.jpg,0,real,
tampered_022.jpg,2,tampered,tampered_022_mask.png
synthetic_020.jpg,1,synthetic,
